ALL CYLINDRICAL PLC BACKUP,,,,,,,,,,,
,,,,,,,,,,,
,,,,,PC I/F,,PLC I/F,,CCIE or MNET/H,,
Process,Line,Asset Description,PLC CPU,IP Address,Network No.,Station No.,Network No.,Station No.,Network No.,Station No.,Path
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #1,CYLINDRICAL #1 J/R ATC,Q06HCPU,-,,,-,-,1,1,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #1,CYLINDRICAL #1 J/R INSERT,Q13UDEHCPU,107.103.35.102,8,2,8,1,1,1,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #1,CYLINDRICAL #1 (-)TAB WELDING & SWAGE,Q06HCPU,107.103.35.104,8,2,8,1,1,1,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #1,CYLINDRICAL #1 CENTER PIN INSERT,Q06HCPU,107.103.35.105,8,2,8,1,-,-,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #1,CYLINDRICAL #1 BEADING,Q06HCPU,107.103.35.106,8,2,8,1,-,-,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #1,CYLINDRICAL #1 X-RAY,Q06HCPU,107.103.35.107,8,2,8,1,-,-,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #1,CYLINDRICAL #1 E/L FILLING,Q12HCPU,107.103.35.109,8,2,8,1,-,-,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #1,CYLINDRICAL #1 (+)TAB WELDING,Q06HCPU,107.103.35.111,8,2,8,1,-,-,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #1,CYLINDRICAL #1 CRIMPING,Q06HCPU,107.103.35.214,8,2,8,1,-,-,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #1,CYLINDRICAL #1 WASHING,Q06HCPU,107.103.35.113,8,2,8,1,-,-,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #1,CYLINDRICAL #1 LEAK CHECK,Q06HCPU,-,,,-,-,-,-,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #1,CYLINDRICAL #1 TUBING,Q06HCPU,107.103.35.114,8,2,8,1,-,-,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #1,CYLINDRICAL #1 AUTO TRAY CONVEYOR,Q06HCPU,107.103.35.117,8,2,8,1,-,-,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
,,,,,,,,,,,
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #2,CYLINDRICAL #2 J/R ATC,Q02HCPU,-,,,-,-,-,-,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #2,CYLINDRICAL #2 J/R INSERT,Q13UDEHCPU,107.103.35.121,,,8,1,-,-,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #2,CYLINDRICAL #2 (-)TAB WELDING,Q06HCPU,107.103.35.122,,,8,1,-,-,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #2,CYLINDRICAL #2 SWAGE,Q06HCPU,107.103.35.123,,,2,1,-,-,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #2,CYLINDRICAL #2 CENTER PIN INSERT,Q06HCPU,107.103.35.124,,,8,1,-,-,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #2,CYLINDRICAL #2 BEADING,Q06HCPU,107.103.35.125,,,8,1,-,-,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #2,CYLINDRICAL #2 X-RAY,Q06HCPU,107.103.35.126,8,2,8,1,-,-,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #2,CYLINDRICAL #2 E/L FILLING,Q12HCPU,107.103.35.128,,,8,1,-,-,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #2,CYLINDRICAL #2 (+)TAB WELDING,Q06UDHCPU,107.103.35.130,,,8,1,-,-,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #2,CYLINDRICAL #2 CRIMPING,Q06HCPU,107.103.35.131,,,8,1,-,-,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #2,CYLINDRICAL #2 LEAK CHECK,Q06UDEHCPU,107.103.35.199,,,8,1,-,-,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #2,CYLINDRICAL #2 WASHING,Q02HCPU,107.103.35.132,,,8,1,-,-,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #2,CYLINDRICAL #2 TUBING,Q02HCPU,107.103.35.133,,,8,1,-,-,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #2,CYLINDRICAL #2 ATC,Q02HCPU,107.103.35.136,,,8,1,-,-,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
,,,,,,,,,,,
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY#3,CYLINDRICAL #3 J/R ATC,Q13UDEHCPU,107.103.41.41,,,2,1,1,1,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY#3,CYLINDRICAL #3 BOTTOM INSULATOR INSERT,Q13UDEHCPU,107.103.41.42,,,2,1,1,2,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY#3,CYLINDRICAL #3 CAN INSERT,Q13UDEHCPU,107.103.41.98,,,2,1,1,16,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
